scene,gsw_run_id,gsw_PSNR,gsw_SSIM,gsw_LPIPS,official_PSNR,official_SSIM,official_LPIPS,official_n,dPSNR,dSSIM,dLPIPS,winner_PSNR,winner_SSIM,winner_LPIPS
web_Terrestrial,M-G1,18.8795162041982,0.7262930621703466,0.5346071335176626,20.76527918709649,0.7710454960664114,0.40616854487193954,3,-1.8857629828982887,-0.04475243389606476,0.1284385886457231,official,official,official
self_Steam_Locomotive,H-G1,19.859954833984375,0.6516539931297303,0.5012504667043686,20.68008909225464,0.670472702383995,0.30174446627497675,2,-0.8201342582702651,-0.018818709254264765,0.19950600042939182,official,official,official
self_Trackmobile_4650TM_Mobile_Railcar_Mover,Trackmobile-R1,12.440200805664062,0.42519891262054443,0.6267451047897339,11.970663865407309,0.3515005111694336,0.526439314087232,3,0.46953694025675397,0.07369840145111084,0.1003057907025019,GS-W,GS-W,official
