scene,mode,method_dir,psnr,ssim,lpips
self_Trackmobile_4650TM_Mobile_Railcar_Mover,legacy_target_rgb,G:\wl3dgs\3dgs_runs\improved_gsw_strict_30k_decision_20260630\self_Trackmobile_4650TM_Mobile_Railcar_Mover\test\ours_30000_legacy_target_rgb,11.150373458862305,0.39391040802001953,0.724205493927002
self_Trackmobile_4650TM_Mobile_Railcar_Mover,strict_intrinsic,G:\wl3dgs\3dgs_runs\improved_gsw_strict_30k_decision_20260630\self_Trackmobile_4650TM_Mobile_Railcar_Mover\test\ours_30000_strict_intrinsic,11.156012535095215,0.39969873428344727,0.7223305702209473
self_Trackmobile_4650TM_Mobile_Railcar_Mover,strict_nearest_train,G:\wl3dgs\3dgs_runs\improved_gsw_strict_30k_decision_20260630\self_Trackmobile_4650TM_Mobile_Railcar_Mover\test\ours_30000_strict_nearest_train,11.038420677185059,0.39538177847862244,0.719735860824585
