image,normal_psnr,normal_ssim,normal_lpips,intrinsic_psnr,intrinsic_ssim,intrinsic_lpips,normal_intrinsic_mae,normal_intrinsic_max_abs,normal_min,normal_max,normal_mean,intrinsic_min,intrinsic_max,intrinsic_mean
0002.jpg,17.452499389648438,0.6416627764701843,0.4194582998752594,16.99983787536621,0.6010318398475647,0.45544421672821045,0.027032652869820595,0.966852068901062,0.0,1.0,0.41941359639167786,0.0,1.0,0.4217141270637512
0003.jpg,17.16780662536621,0.6157994270324707,0.42811036109924316,16.333267211914062,0.5809696316719055,0.45488500595092773,0.031194964423775673,1.0,0.0,1.0,0.4453244209289551,0.0,1.0,0.4453774690628052
0004.jpg,17.355987548828125,0.5982933044433594,0.41604387760162354,16.424989700317383,0.556050717830658,0.4454710781574249,0.035519037395715714,1.0,0.0,1.0,0.4560794532299042,0.0,1.0,0.46161016821861267
0005.jpg,16.932579040527344,0.5743276476860046,0.4378435015678406,16.203197479248047,0.5356608033180237,0.4626367688179016,0.03298457711935043,1.0,0.0,1.0,0.4546615779399872,0.0,1.0,0.4650641977787018
0006.jpg,16.661270141601562,0.5635841488838196,0.41398048400878906,15.990930557250977,0.520268440246582,0.4386512339115143,0.03333010524511337,1.0,0.0,1.0,0.44609251618385315,0.0,1.0,0.44932928681373596
0007.jpg,16.261489868164062,0.5431914329528809,0.42425599694252014,15.57135009765625,0.5010179877281189,0.44824713468551636,0.033660776913166046,0.9251503944396973,0.0,1.0,0.43685010075569153,0.0,1.0,0.43723592162132263
0008.jpg,16.745229721069336,0.5637454986572266,0.4392261505126953,16.324337005615234,0.5241702198982239,0.4612292945384979,0.030946675688028336,1.0,0.0,1.0,0.4567866921424866,0.0,1.0,0.4541170597076416
0010.jpg,16.22145652770996,0.5886521935462952,0.44411349296569824,15.795316696166992,0.5537681579589844,0.4668944776058197,0.02479102835059166,1.0,0.0,1.0,0.4226984977722168,0.0,1.0,0.42263510823249817
0011.jpg,16.188173294067383,0.5889933109283447,0.45698630809783936,15.812347412109375,0.5600051879882812,0.4765605032444,0.023734647780656815,0.9916728734970093,0.0,1.0,0.43446850776672363,0.0,1.0,0.4322814643383026
0012.jpg,18.26807403564453,0.6815184950828552,0.4122985601425171,17.627748489379883,0.6503115892410278,0.43338143825531006,0.023633746430277824,1.0,0.0,1.0,0.45421382784843445,0.0,1.0,0.4549773335456848
0013.jpg,18.789573669433594,0.6929987072944641,0.4012104272842407,18.024173736572266,0.6563969850540161,0.422688752412796,0.03041711077094078,1.0,0.0,1.0,0.4489032030105591,0.0,1.0,0.44554802775382996
0014.jpg,18.01750946044922,0.6695030331611633,0.4103018045425415,17.099281311035156,0.6197741627693176,0.4461827576160431,0.03936025872826576,0.9364511966705322,0.0,1.0,0.44433945417404175,0.0,1.0,0.45334726572036743
0015.jpg,16.963407516479492,0.6731675863265991,0.4316861629486084,16.118600845336914,0.6218835115432739,0.48210200667381287,0.04631414636969566,1.0,0.0,1.0,0.44190770387649536,0.0,1.0,0.4383362829685211
