checkpoint_size_bytes,command,duration_min,duration_sec,end_time,gaussian_count,gt_count,iterations,label,method_dir,model_path,peak_gpu_mem_mb,render_count,returncode,stage,start_time,stderr_log,stdout_log
477689,"""D:\anaconda\envs\3dgs\python.exe"" ""G:\wl3dgs\Official_3DGS_Strict_Control\train.py"" --source_path ""G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover"" --model_path ""G:\wl3dgs\3dgs_runs\official_3dgs_strict_repeated_30k_20260701\smoke_10\self_Trackmobile_4650TM_Mobile_Railcar_Mover"" --eval --resolution 1 --iterations 10 --optimizer_type default --test_iterations 1000000 --save_iterations 10 --disable_viewer --quiet",0.168,10.081,2026-07-01T16:42:16.162222,1920,,10,smoke_10,,G:\wl3dgs\3dgs_runs\official_3dgs_strict_repeated_30k_20260701\smoke_10\self_Trackmobile_4650TM_Mobile_Railcar_Mover,889,,0,train,2026-07-01T16:42:06.081658,G:\wl3dgs\Improved_GS-W\reports\official_control\logs\smoke_10_train_10.stderr.log,G:\wl3dgs\Improved_GS-W\reports\official_control\logs\smoke_10_train_10.stdout.log
,"""D:\anaconda\envs\3dgs\python.exe"" ""G:\wl3dgs\Official_3DGS_Strict_Control\render.py"" --source_path ""G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover"" --model_path ""G:\wl3dgs\3dgs_runs\official_3dgs_strict_repeated_30k_20260701\smoke_10\self_Trackmobile_4650TM_Mobile_Railcar_Mover"" --eval --resolution 1 --iteration 10 --quiet --skip_train",0.085,5.073,,,2,10,smoke_10,G:\wl3dgs\3dgs_runs\official_3dgs_strict_repeated_30k_20260701\smoke_10\self_Trackmobile_4650TM_Mobile_Railcar_Mover\test\ours_10,G:\wl3dgs\3dgs_runs\official_3dgs_strict_repeated_30k_20260701\smoke_10\self_Trackmobile_4650TM_Mobile_Railcar_Mover,873,2,0,render,,G:\wl3dgs\Improved_GS-W\reports\official_control\logs\smoke_10_render_10.stderr.log,G:\wl3dgs\Improved_GS-W\reports\official_control\logs\smoke_10_render_10.stdout.log
477689,"""D:\anaconda\envs\3dgs\python.exe"" ""G:\wl3dgs\Official_3DGS_Strict_Control\train.py"" --source_path ""G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover"" --model_path ""G:\wl3dgs\3dgs_runs\official_3dgs_strict_repeated_30k_20260701\smoke_300\self_Trackmobile_4650TM_Mobile_Railcar_Mover"" --eval --resolution 1 --iterations 300 --optimizer_type default --test_iterations 1000000 --save_iterations 300 --disable_viewer --quiet",0.168,10.08,2026-07-01T16:42:31.317673,1920,,300,smoke_300,,G:\wl3dgs\3dgs_runs\official_3dgs_strict_repeated_30k_20260701\smoke_300\self_Trackmobile_4650TM_Mobile_Railcar_Mover,873,,0,train,2026-07-01T16:42:21.237181,G:\wl3dgs\Improved_GS-W\reports\official_control\logs\smoke_300_train_300.stderr.log,G:\wl3dgs\Improved_GS-W\reports\official_control\logs\smoke_300_train_300.stdout.log
,"""D:\anaconda\envs\3dgs\python.exe"" ""G:\wl3dgs\Official_3DGS_Strict_Control\render.py"" --source_path ""G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover"" --model_path ""G:\wl3dgs\3dgs_runs\official_3dgs_strict_repeated_30k_20260701\smoke_300\self_Trackmobile_4650TM_Mobile_Railcar_Mover"" --eval --resolution 1 --iteration 300 --quiet --skip_train",0.084,5.069,,,2,300,smoke_300,G:\wl3dgs\3dgs_runs\official_3dgs_strict_repeated_30k_20260701\smoke_300\self_Trackmobile_4650TM_Mobile_Railcar_Mover\test\ours_300,G:\wl3dgs\3dgs_runs\official_3dgs_strict_repeated_30k_20260701\smoke_300\self_Trackmobile_4650TM_Mobile_Railcar_Mover,873,2,0,render,,G:\wl3dgs\Improved_GS-W\reports\official_control\logs\smoke_300_render_300.stderr.log,G:\wl3dgs\Improved_GS-W\reports\official_control\logs\smoke_300_render_300.stdout.log
