group,label,method_dir,render_count,gt_count,test_image_names,psnr,ssim,lpips,lpips_net,lpips_normalize,full_image
official_3dgs,O1,G:\wl3dgs\3dgs_runs\official_3dgs_strict_repeated_30k_20260701\O1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\test\ours_30000,2,2,0001.jpg;0009.jpg,12.22619342803955,0.33903883397579193,0.5233048349618912,alex,True,True
official_3dgs,O2,G:\wl3dgs\3dgs_runs\official_3dgs_strict_repeated_30k_20260701\O2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\test\ours_30000,2,2,0001.jpg;0009.jpg,12.383015155792236,0.3867306262254715,0.5306380540132523,alex,True,True
official_3dgs,O3,G:\wl3dgs\3dgs_runs\official_3dgs_strict_repeated_30k_20260701\O3\self_Trackmobile_4650TM_Mobile_Railcar_Mover\test\ours_30000,2,2,0001.jpg;0009.jpg,11.302783012390137,0.32873207330703735,0.5253750532865524,alex,True,True
gsw_strict_intrinsic,R1,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R1\self_Trackmobile_4650TM_Mobile_Railcar_Mover\test\ours_30000_strict_intrinsic,2,2,0001.jpg;0009.jpg,12.440200805664062,0.4251989275217056,0.6267451345920563,alex,True,True
gsw_strict_intrinsic,R2,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R2\self_Trackmobile_4650TM_Mobile_Railcar_Mover\test\ours_30000_strict_intrinsic,2,2,0001.jpg;0009.jpg,12.88880729675293,0.43495942652225494,0.6461690962314606,alex,True,True
gsw_strict_intrinsic,R3,G:\wl3dgs\3dgs_runs\gsw_strict_baseline_v2_repeated_30k_20260630\R3\self_Trackmobile_4650TM_Mobile_Railcar_Mover\test\ours_30000_strict_intrinsic,2,2,0001.jpg;0009.jpg,12.604411125183105,0.44398827850818634,0.6355817914009094,alex,True,True
