dark_ratio,image_name,lowfreq_luminance_range,mean_chroma_b,mean_chroma_g,mean_chroma_r,mean_log_luminance,saturation_ratio,scene
0.0,IMG20260128162529..jpg,0.6588235348463058,0.3562639653682709,0.33589744567871094,0.3078385591506958,-0.9929700493812561,0.010199652777777778,self_3000t_Press
0.0,IMG20260128162534..jpg,0.6407843202352526,0.35030949115753174,0.3367217779159546,0.31296876072883606,-0.9301192760467529,0.010877821180555556,self_3000t_Press
0.0,IMG20260128162540..jpg,0.6588235348463058,0.3454653024673462,0.3373488783836365,0.31718581914901733,-0.8368975520133972,0.005235460069444444,self_3000t_Press
0.0,IMG20260128162545..jpg,0.6274509876966476,0.3359927237033844,0.3397334814071655,0.32427385449409485,-0.7803628444671631,0.014241536458333334,self_3000t_Press
0.0,IMG20260128162554..jpg,0.6666666716337204,0.34585097432136536,0.33830496668815613,0.3158440589904785,-0.9134916663169861,0.0007052951388888889,self_3000t_Press
0.0,IMG20260128162559..jpg,0.6980392187833786,0.343770295381546,0.3396484851837158,0.31658121943473816,-0.9265861511230469,0.0011664496527777778,self_3000t_Press
0.0,IMG20260128162604..jpg,0.6823529452085495,0.3356572687625885,0.33835479617118835,0.32598790526390076,-0.8483123183250427,0.011962890625,self_3000t_Press
0.0,IMG20260128162614..jpg,0.647058829665184,0.33751821517944336,0.33888494968414307,0.32359689474105835,-0.880721926689148,0.008463541666666666,self_3000t_Press
0.0,IMG20260128162620..jpg,0.6235294193029404,0.3365210294723511,0.3401842713356018,0.3232946991920471,-0.8961983919143677,0.014350043402777778,self_3000t_Press
0.0,IMG20260128162626..jpg,0.5478431493043902,0.33953654766082764,0.3394334018230438,0.3210301101207733,-0.8924317955970764,0.017550998263888888,self_3000t_Press
0.0,IMG20260128162633..jpg,0.6000000089406967,0.3494713008403778,0.3384881019592285,0.31204062700271606,-0.8762209415435791,0.025553385416666668,self_3000t_Press
0.0,IMG20260128162640..jpg,0.603921577334404,0.349647581577301,0.3385982811450958,0.31175416707992554,-0.8529304265975952,0.0244140625,self_3000t_Press
0.0,IMG20260128162647..jpg,0.5713725596666336,0.349251925945282,0.33780035376548767,0.31294769048690796,-0.8117952346801758,8.138020833333333e-05,self_3000t_Press
0.0,IMG20260128162655..jpg,0.5529411882162094,0.3428650200366974,0.33835551142692566,0.31877946853637695,-0.8340364098548889,2.712673611111111e-05,self_3000t_Press
0.0,IMG20260128162712..jpg,0.516470602154732,0.34989506006240845,0.3375639021396637,0.31254103779792786,-0.771014928817749,0.0004069010416666667,self_3000t_Press
0.0,IMG20260128162741..jpg,0.49803923070430756,0.3524686098098755,0.3367053270339966,0.3108261227607727,-0.7510833740234375,0.0004611545138888889,self_3000t_Press
0.0,IMG20260128162749..jpg,0.5125490337610247,0.3445349931716919,0.33827388286590576,0.31719106435775757,-0.75191730260849,0.004747178819444444,self_3000t_Press
2.712673611111111e-05,IMG20260128162756..jpg,0.5047058969736101,0.3481362760066986,0.3357611894607544,0.3161025047302246,-0.8211458921432495,0.00010850694444444444,self_3000t_Press
0.0002712673611111111,IMG20260128162803..jpg,0.5113725632429125,0.35480043292045593,0.3366174101829529,0.3085821866989136,-0.8030208945274353,2.712673611111111e-05,self_3000t_Press
0.0,IMG20260128162811..jpg,0.4733333349227907,0.35928475856781006,0.3352237343788147,0.30549153685569763,-0.759199857711792,0.0,self_3000t_Press
0.0006781684027777778,IMG20260128162817..jpg,0.5007843241095542,0.36012229323387146,0.33523428440093994,0.304643452167511,-0.7621567249298096,0.00013563368055555556,self_3000t_Press
0.0,IMG20260128162829..jpg,0.5803921669721603,0.3567127585411072,0.334408164024353,0.308879017829895,-0.8709545135498047,0.00013563368055555556,self_3000t_Press
0.0,IMG20260128162835..jpg,0.6235294193029404,0.3582535982131958,0.33681973814964294,0.30492666363716125,-0.9082407355308533,0.00010850694444444444,self_3000t_Press
0.0,IMG20260128162841..jpg,0.647058829665184,0.3573581278324127,0.3378257751464844,0.3048160970211029,-0.9797884821891785,0.0,self_3000t_Press
0.0,IMG20260128162847..jpg,0.6588235348463058,0.356761634349823,0.33905449509620667,0.30418384075164795,-0.9421473741531372,0.00016276041666666666,self_3000t_Press
0.0,IMG20260128162855..jpg,0.6941176503896713,0.3584362268447876,0.3391072750091553,0.3024565279483795,-0.9778311252593994,0.0020887586805555555,self_3000t_Press
