scene,iterations,image_name,official_gt_sha256,gsw_gt_sha256,match
self_Steam_Locomotive,10,00001.jpg,4c46b7c82b8a9cb695b7d6cfeade5a78bd4616e33da57c41dbeea0c1290ddf79,4c46b7c82b8a9cb695b7d6cfeade5a78bd4616e33da57c41dbeea0c1290ddf79,True
self_Steam_Locomotive,10,00009.jpg,2d09ad6d9128b11964d3db3c44ca3fbe4922c4dbad5efa5669c4d31e54c2e202,2d09ad6d9128b11964d3db3c44ca3fbe4922c4dbad5efa5669c4d31e54c2e202,True
self_Steam_Locomotive,10,00017.jpg,cb4c8e2d4e54cc7b622f5bba5415e475cf3877648241a5b46239c14218a9606e,cb4c8e2d4e54cc7b622f5bba5415e475cf3877648241a5b46239c14218a9606e,True
self_Steam_Locomotive,10,00025.jpg,f3cf01ace3b42a43b4b145598b005408312793fb62c8a0f6a9e79cfb0cda8a58,f3cf01ace3b42a43b4b145598b005408312793fb62c8a0f6a9e79cfb0cda8a58,True
self_Steam_Locomotive,10,00033.jpg,3ceaa7a293ef42d110aee7e400f69f865a3989e3e205d0b5231528acb0722a38,3ceaa7a293ef42d110aee7e400f69f865a3989e3e205d0b5231528acb0722a38,True
self_Steam_Locomotive,10,00041.jpg,4c3f2d95084f1a287cc1853a91f8f54a909ce732fec0670b11d368e582db51f8,4c3f2d95084f1a287cc1853a91f8f54a909ce732fec0670b11d368e582db51f8,True
self_Steam_Locomotive,10,00049.jpg,923e775589226ceb83ab9393ea2b810d9d51a72d79bec150132a496de5a9f797,923e775589226ceb83ab9393ea2b810d9d51a72d79bec150132a496de5a9f797,True
self_Steam_Locomotive,10,00057.jpg,ccbbfb6e891234660bf36d69c20c7d0ce6017454509315fba77f54b1681d80b7,ccbbfb6e891234660bf36d69c20c7d0ce6017454509315fba77f54b1681d80b7,True
self_Steam_Locomotive,10,00065.jpg,d5957db71a188c01528b45ab0627d5c66159aff4082203369be7a5c5eb2be664,d5957db71a188c01528b45ab0627d5c66159aff4082203369be7a5c5eb2be664,True
self_Steam_Locomotive,10,00073.jpg,fb3ac462e0665b68cb5cfa7edc1c0ff5c394cab5aab29623113a63905c467567,fb3ac462e0665b68cb5cfa7edc1c0ff5c394cab5aab29623113a63905c467567,True
self_Steam_Locomotive,300,00001.jpg,4c46b7c82b8a9cb695b7d6cfeade5a78bd4616e33da57c41dbeea0c1290ddf79,4c46b7c82b8a9cb695b7d6cfeade5a78bd4616e33da57c41dbeea0c1290ddf79,True
self_Steam_Locomotive,300,00009.jpg,2d09ad6d9128b11964d3db3c44ca3fbe4922c4dbad5efa5669c4d31e54c2e202,2d09ad6d9128b11964d3db3c44ca3fbe4922c4dbad5efa5669c4d31e54c2e202,True
self_Steam_Locomotive,300,00017.jpg,cb4c8e2d4e54cc7b622f5bba5415e475cf3877648241a5b46239c14218a9606e,cb4c8e2d4e54cc7b622f5bba5415e475cf3877648241a5b46239c14218a9606e,True
self_Steam_Locomotive,300,00025.jpg,f3cf01ace3b42a43b4b145598b005408312793fb62c8a0f6a9e79cfb0cda8a58,f3cf01ace3b42a43b4b145598b005408312793fb62c8a0f6a9e79cfb0cda8a58,True
self_Steam_Locomotive,300,00033.jpg,3ceaa7a293ef42d110aee7e400f69f865a3989e3e205d0b5231528acb0722a38,3ceaa7a293ef42d110aee7e400f69f865a3989e3e205d0b5231528acb0722a38,True
self_Steam_Locomotive,300,00041.jpg,4c3f2d95084f1a287cc1853a91f8f54a909ce732fec0670b11d368e582db51f8,4c3f2d95084f1a287cc1853a91f8f54a909ce732fec0670b11d368e582db51f8,True
self_Steam_Locomotive,300,00049.jpg,923e775589226ceb83ab9393ea2b810d9d51a72d79bec150132a496de5a9f797,923e775589226ceb83ab9393ea2b810d9d51a72d79bec150132a496de5a9f797,True
self_Steam_Locomotive,300,00057.jpg,ccbbfb6e891234660bf36d69c20c7d0ce6017454509315fba77f54b1681d80b7,ccbbfb6e891234660bf36d69c20c7d0ce6017454509315fba77f54b1681d80b7,True
self_Steam_Locomotive,300,00065.jpg,d5957db71a188c01528b45ab0627d5c66159aff4082203369be7a5c5eb2be664,d5957db71a188c01528b45ab0627d5c66159aff4082203369be7a5c5eb2be664,True
self_Steam_Locomotive,300,00073.jpg,fb3ac462e0665b68cb5cfa7edc1c0ff5c394cab5aab29623113a63905c467567,fb3ac462e0665b68cb5cfa7edc1c0ff5c394cab5aab29623113a63905c467567,True
web_Terrestrial,10,IMG_6283.TIF,633a5406bcf296139e36bd9f8f5c64a58a8eb444c1b3b875b0cca441417ffc2b,633a5406bcf296139e36bd9f8f5c64a58a8eb444c1b3b875b0cca441417ffc2b,True
web_Terrestrial,10,IMG_6299.TIF,5ee251c5e52d213ebdf8d7ee05eb39f3dbc4593a5b248734c8907551f93dc1a1,5ee251c5e52d213ebdf8d7ee05eb39f3dbc4593a5b248734c8907551f93dc1a1,True
web_Terrestrial,10,IMG_6315.TIF,19f517392bf7f7d59f2d891bb3c664e3c83595f00915254db11fdd1e5d07c85e,19f517392bf7f7d59f2d891bb3c664e3c83595f00915254db11fdd1e5d07c85e,True
web_Terrestrial,10,IMG_6977.TIF,3f39736867e01b82dca25899168a85e79ca6f03893f9ecdb0872bbaf003791ec,3f39736867e01b82dca25899168a85e79ca6f03893f9ecdb0872bbaf003791ec,True
web_Terrestrial,10,IMG_6993.TIF,8fdedeec2820b22aff16043a7d3aa45a09155b701b5a1429e672bc0080672186,8fdedeec2820b22aff16043a7d3aa45a09155b701b5a1429e672bc0080672186,True
web_Terrestrial,10,IMG_7009.TIF,07a94133de21296c503891d9ca5d56a87ff0c3ddb6b0060e9e647a990c56a971,07a94133de21296c503891d9ca5d56a87ff0c3ddb6b0060e9e647a990c56a971,True
web_Terrestrial,10,IMG_7025.TIF,39ee4ae67dec0c3f8613b4271cfb35e00c51e02f4eb04b4b17209b24cd7f61fa,39ee4ae67dec0c3f8613b4271cfb35e00c51e02f4eb04b4b17209b24cd7f61fa,True
web_Terrestrial,10,IMG_7041.TIF,b7a5121927d7cfd006ded8e492a74d19b8ce72cf37c441a0848d81dfda481e23,b7a5121927d7cfd006ded8e492a74d19b8ce72cf37c441a0848d81dfda481e23,True
web_Terrestrial,10,_DSC1595.JPG,8b445fc977d4011006a222a5d3827de0e41b33d26ee3d3e8fba5f51ae83db0b5,8b445fc977d4011006a222a5d3827de0e41b33d26ee3d3e8fba5f51ae83db0b5,True
web_Terrestrial,10,_DSC1603.JPG,a033a52180c0bfbeda0eb6befe982963f048e07d2236c3c5bf5bf8881e4e19be,a033a52180c0bfbeda0eb6befe982963f048e07d2236c3c5bf5bf8881e4e19be,True
web_Terrestrial,10,_DSC1611.JPG,adae8feeae95e2e7aa807615c17c5d2773acee3efb58670111760aa4512e8a0b,adae8feeae95e2e7aa807615c17c5d2773acee3efb58670111760aa4512e8a0b,True
web_Terrestrial,10,_DSC1619.JPG,879f092227d450c930cf5c48b3fbcfd075470fb11871cca141b77953cd220feb,879f092227d450c930cf5c48b3fbcfd075470fb11871cca141b77953cd220feb,True
web_Terrestrial,10,_DSC1627.JPG,be1590f6213ea796fa1425edf6af4d26e039c2a78e7ddb51f96a7fa979b6fcc1,be1590f6213ea796fa1425edf6af4d26e039c2a78e7ddb51f96a7fa979b6fcc1,True
web_Terrestrial,10,_DSC1635.JPG,b7aaa5b607d55381923874cd3fec749a2ae88a8efc1ca0a3d1af4e150d4210cb,b7aaa5b607d55381923874cd3fec749a2ae88a8efc1ca0a3d1af4e150d4210cb,True
web_Terrestrial,10,_DSC1643.JPG,a900504a73530fbfb50f07605c944f9db3f5ceba652ea691a8162126c93d79da,a900504a73530fbfb50f07605c944f9db3f5ceba652ea691a8162126c93d79da,True
web_Terrestrial,10,_DSC1651.JPG,79338bfa8fb6f4ece195a1323dcf64c185613fe0c4ce2d9d6c26650e444f290a,79338bfa8fb6f4ece195a1323dcf64c185613fe0c4ce2d9d6c26650e444f290a,True
web_Terrestrial,10,_DSC1659.JPG,1d6fdf0ab99c2d288edb62247f3fbe986292c370c9065e29f37dbb60820c39e5,1d6fdf0ab99c2d288edb62247f3fbe986292c370c9065e29f37dbb60820c39e5,True
web_Terrestrial,10,_DSC5568_1.JPG,7b40d3c2622b8c483df38c0aa14ffba094bdcf7d8df88eee872be38018d3c7f9,7b40d3c2622b8c483df38c0aa14ffba094bdcf7d8df88eee872be38018d3c7f9,True
web_Terrestrial,10,_DSC5576_1.JPG,14e8c7e9bac4dd95fa2bf8361eb01264bc035176a6db02cda2b17981a8713853,14e8c7e9bac4dd95fa2bf8361eb01264bc035176a6db02cda2b17981a8713853,True
web_Terrestrial,10,_DSC5591_1.JPG,14cdec53bf1b509f78bf1544ce873efd2721934562b306ae0197aee1bff8c626,14cdec53bf1b509f78bf1544ce873efd2721934562b306ae0197aee1bff8c626,True
web_Terrestrial,10,_DSC5599_1.JPG,5261cf2c98db0d3ac8e84a03f501503851ef6e4c5d97c35b6e10705dfc82567d,5261cf2c98db0d3ac8e84a03f501503851ef6e4c5d97c35b6e10705dfc82567d,True
web_Terrestrial,10,_DSC5607_1.JPG,068c221bc9cde96572e025d9d49823a3527bd70e40cdc2b39f5ed13221bb744a,068c221bc9cde96572e025d9d49823a3527bd70e40cdc2b39f5ed13221bb744a,True
web_Terrestrial,10,_DSC5617_1.JPG,c2cd98dd58b0b1fb794dbbb356d6b49f8e1a5fb0a673c0b8b0f77ac991da3d59,c2cd98dd58b0b1fb794dbbb356d6b49f8e1a5fb0a673c0b8b0f77ac991da3d59,True
web_Terrestrial,10,_DSC5627.JPG,82be7fcbcc46da46d0c04a210d96c5819259fa3b61bdba72c49a49e9dfa27331,82be7fcbcc46da46d0c04a210d96c5819259fa3b61bdba72c49a49e9dfa27331,True
