chromaticity_spread,chromaticity_spread_rank_percentile,dark_ratio_spread,dark_ratio_spread_rank_percentile,difficulty_rank,lighting_difficulty_score,log_luminance_mad,log_luminance_p90_p10,log_luminance_p90_p10_rank_percentile,log_luminance_std,lowfreq_illumination_spread,lowfreq_illumination_spread_rank_percentile,saturation_ratio_spread,saturation_ratio_spread_rank_percentile,scene,scene_category,source_type,train_image_count
0.04726010163625081,0.9,0.03744032118055554,1.0,1,0.9199999999999999,0.12843436002731323,0.6163786053657531,0.8,0.2842092680854254,0.39298039369285087,0.9,0.21733669704861108,1.0,web_Trento_Duomo_images,cathedral / historic architecture,network/public scenic,494
0.07132945259412128,1.0,0.0012063891103071926,0.5,2,0.72,0.1046099066734314,0.3547272443771363,0.4,0.1395589257347101,0.37568625807762157,0.8,0.13547406914893617,0.9,web_Baalshamin_images,archaeological temple / heritage ruins,network/public scenic,39
0.017986596624056495,0.3,0.01386633086622809,0.8,3,0.7,0.11654984951019287,0.5213916540145875,0.6,0.1871302307646057,0.4114117550849916,1.0,0.09412606222587724,0.8,web_doss_images,public scenic/heritage image collection,network/public scenic,664
0.033077508211135864,0.8,0.00810825288704439,0.6,4,0.6199999999999999,0.16478857398033142,0.617068886756897,0.9,0.2456771046803006,0.2588235400617123,0.5,0.013791698619631903,0.3,web_Terrestrial,public scenic/heritage image collection,network/public scenic,166
0.017669348915417993,0.2,2.712673611111111e-05,0.4,5,0.5800000000000001,0.13431453704833984,0.6222259342670441,1.0,0.2238365209845451,0.30196077525615694,0.7,0.034035915798611115,0.6,self_Steam_Locomotive,industrial heritage locomotive,self-captured,70
0.022648096084594727,0.5,0.01420930631868132,0.9,6,0.48,0.1527247428894043,0.5532464504241943,0.7,0.20822868806583242,0.14478431105613715,0.1,0.0017135989010989016,0.2,self_double-action_press,industrial heritage press,self-captured,157
0.031945496797561666,0.7,0.012938596491228084,0.7,7,0.48,0.10542023181915283,0.4650893807411195,0.5,0.17155226573919283,0.2007843255996704,0.4,0.0,0.1,web_statue_images,statue/sculpture,network/public scenic,87
0.03190124829610189,0.6,0.0,0.0,8,0.38,0.04379966855049133,0.21597067117691027,0.2,0.09141609157058073,0.296313709318638,0.6,0.018359375,0.5,self_CLG899III_Wheel_Loader,industrial vehicle / loader,self-captured,150
0.020598948001861572,0.4,0.0,0.2,9,0.31999999999999995,0.06840333342552185,0.2100469470024109,0.1,0.08367525477117108,0.1596078336238861,0.2,0.04954879679144385,0.7,web_metopa_images,heritage relief/sculpture,network/public scenic,91
0.01520262360572816,0.1,2.7126736111111493e-06,0.3,10,0.28,0.061782628297805786,0.2202367842197418,0.3,0.08118776254334097,0.18290195390582098,0.3,0.014670138888888894,0.4,self_3000t_Press,industrial heritage press,self-captured,30
0.011500020821889242,0.0,0.0,0.1,11,0.02,0.038306474685668945,0.1210893273353576,0.0,0.04692401750537331,0.07615686416625989,0.0,0.0,0.0,web_cyprus_images,heritage architecture / scenic landmark,network/public scenic,155
